columnId,SStrength,EStrength,AStrength,Seq,Len,C_1_way,C_2_way,All C_SStrength_way,Bug,Total,SuccessHttp,Cost
Elevations,2,3,2,3.0,4.00,0.09,0.00,12.0,0.0,182.0,15,0.90

Elevations,2,3,2,3.0,4.00,0.09,0.00,12.0,0.0,222.0,18,1.07

Elevations,2,3,2,3.0,4.00,0.25,0.00,12.0,0.0,204.0,26,0.88

Locations,2,3,2,4.0,4.00,1.00,1.00,20.0,0.0,379.0,229,1.32

TimeZone,2,3,2,3.0,3.00,1.00,1.00,12.0,0.0,1930.0,770,3.66

TimeZone,2,3,2,2.0,4.00,1.00,1.00,12,0,1544,666,3.03

Elevations,2,3,2,4.0,3.00,0.25,0.00,12,0,262,14,0.93

Imagery,2,3,2,6.0,8.00,0.80,0.61,90,4,4573,847,24.84

Imagery,2,3,2,8.0,7.00,0.80,0.46,90,4,5600,926,17.00

Route,2,3,2,10.0,9.00,0.64,0.20,182,3,34231,120,60.51

Imagery,2,3,2,7.0,6.00,0.80,0.53,90,3,4969,772,13.85

Imagery,2,3,2,7.0,7.00,0.70,0.47,90,2,5525,849,52.26

TimeZone,2,3,2,3.0,4.00,1.00,1.00,12,0,1941,767,13.72

TimeZone,2,3,2,3.0,4.00,1.00,1.00,12,0,341,122,2.66

TimeZone,2,3,2,3.0,4.00,1.00,1.00,12,0,385,145,3.03

Imagery,2,3,2,5.0,8.00,0.60,0.33,90,2,4390,534,36.41

Imagery,2,3,2,7.0,8.00,0.90,0.70,90,3,4819,883,43.83

TimeZone,2,3,2,3.0,3.67,1.00,1.00,12,0,2305,1007,18.30

Locations,2,3,2,5.0,3.80,1.00,1.00,20,0,468,320,5.73

Locations,2,3,2,4.0,4.25,1.00,1.00,20,0,449,263,4.98

Route,2,3,2,10.0,8.60,0.29,0.03,182,2,81607,72,56.22

14.0,6.2,0.7,0.17,3909,56.22Route,2,3,2,9.0,9.78,0.07,0.00,182,1,61697,0,58.13

